Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-06-18T00:33:57+1000,Trade,BUY_TO_CLOSE,SOL   210618C00010000,Equity Option,Bought 1 SOL 06/18/21 Call 10.00 @ 0.02,-2.00,1,-2.00,0.00,-0.13,100,SOL,SOL,6/19/21,10.0,CALL,155874691
2021-06-18T00:33:57+1000,Trade,BUY_TO_CLOSE,SOL   210618C00010000,Equity Option,Bought 1 SOL 06/18/21 Call 10.00 @ 0.02,-2.00,1,-2.00,0.00,-0.13,100,SOL,SOL,6/19/21,10.0,CALL,155874691
2021-06-17T23:30:06+1000,Trade,BUY_TO_CLOSE,APPS  210618C00080000,Equity Option,Bought 4 APPS 06/18/21 Call 80.00 @ 0.05,-20.00,4,-5.00,0.00,-0.54,100,APPS,APPS,6/19/21,80.0,CALL,155804985
2021-06-17T23:30:06+1000,Trade,BUY_TO_CLOSE,APPS  210618C00080000,Equity Option,Bought 4 APPS 06/18/21 Call 80.00 @ 0.05,-20.00,4,-5.00,0.00,-0.54,100,APPS,APPS,6/19/21,80.0,CALL,155804985
2021-06-17T23:30:00+1000,Trade,BUY_TO_OPEN,SPY   220617C00422000,Equity Option,Bought 1 SPY 06/17/22 Call 422.00 @ 28.03,"-2,803.00",1,"-2,803.00",-1.00,-0.13,100,SPY,SPY,6/18/22,422.0,CALL,155858595
2021-06-17T23:30:00+1000,Trade,BUY_TO_OPEN,SPY   220617C00422000,Equity Option,Bought 1 SPY 06/17/22 Call 422.00 @ 28.03,"-2,803.00",1,"-2,803.00",-1.00,-0.13,100,SPY,SPY,6/18/22,422.0,CALL,155858595
2021-06-17T07:00:00+1000,Money Movement,,,,INTEREST ON CREDIT BALANCE,0.05,0,,--,0.00,,,,,,,
2021-06-14T23:32:45+1000,Trade,SELL_TO_OPEN,APPS  210618C00080000,Equity Option,Sold 8 APPS 06/18/21 Call 80.00 @ 0.75,600.00,8,75.00,-8.00,-1.106,100,APPS,APPS,6/19/21,80.0,CALL,155075516
2021-06-13T00:03:14+1000,Money Movement,,,,Regulatory fee adjustment,0.06,0,,--,0.00,,,,,,,
2021-06-12T06:00:00+1000,Receive Deliver,,APPS  210611C00075000,Equity Option,Removal of 8.0 APPS 06/11/21 Call 75.00 due to expiration.,0.00,8,0.00,--,0.00,100,APPS,APPS,6/12/21,75.0,CALL,
2021-06-11T07:00:00+1000,Money Movement,,NIO,Equity,***NIO INC,-3.00,0,,--,0.00,,,,,,,
2021-06-10T03:22:01+1000,Trade,BUY_TO_CLOSE,NVAX  210611C00170000,Equity Option,Bought 1 NVAX 06/11/21 Call 170.00 @ 41.33,"-4,133.00",1,"-4,133.00",0.00,-0.13,100,NVAX,NVAX,6/12/21,170.0,CALL,154409843
2021-06-10T03:22:01+1000,Trade,SELL_TO_OPEN,NVAX  210618C00170000,Equity Option,Sold 1 NVAX 06/18/21 Call 170.00 @ 42.66,"4,266.00",1,"4,266.00",-1.00,-0.162,100,NVAX,NVAX,6/19/21,170.0,CALL,154409843
2021-06-09T05:43:42+1000,Trade,SELL_TO_CLOSE,CLOV,Equity,Sold 100 CLOV @ 22.76,"2,276.00",100,22.76,0.00,-0.112,,,,,,,154200535
2021-06-09T05:37:46+1000,Trade,SELL_TO_CLOSE,CLOV,Equity,Sold 39 CLOV @ 22.04,859.61,39,22.04,0.00,-0.047,,,,,,,154196906
2021-06-08T01:12:02+1000,Trade,SELL_TO_OPEN,APPS  210611C00075000,Equity Option,Sold 8 APPS 06/11/21 Call 75.00 @ 0.55,440.00,8,55.00,-8.00,-1.106,100,APPS,APPS,6/12/21,75.0,CALL,153686373
